1 , 1
2 , 2
3 , 3
4 , 4
5 , 5
6 , 6
7 , 7
9 , 9
19 , 10
29 , 12
39 , 14
49 , 16
59 , 17
69 , 20
79 , 21
89 , 23
99 , 24
199 , 55
299 , 88
399 , 122
499 , 157
599 , 196
699 , 230
799 , 267
899 , 299
999 , 333
1999 , 706
2999 , 1116
3999 , 1531
4999 , 1956
5999 , 2368
6999 , 2809
7999 , 3200
8999 , 3607
9999 , 4008
19999 , 8619
29999 , 13428
39999 , 18332
49999 , 23197
59999 , 28159
69999 , 33167
79999 , 37956
89999 , 42751
99999 , 47470
199999 , 100361
299999 , 154613
399999 , 209049
499999 , 263705
599999 , 319701
699999 , 374384
799999 , 428265
899999 , 481631
999999 , 534357
1999999 , 1118255
2999999 , 1710151
3999999 , 2301356
4999999 , 2892673
5999999 , 3501975
6999999 , 4092976
7999999 , 4685242
8999999 , 5269113
9999999 , 5845531
19999999 , 12130748
29999999 , 18463923
39999999 , 24795186
49999999 , 31128599
59999999 , 37651025
69999999 , 43988394
79999999 , 50422158
89999999 , 56696848
99999999 , 62955906
199999999 , 129867303
299999999 , 197130768
399999999 , 264413912
499999999 , 331635763
599999999 , 400677786
699999999 , 468074642
799999999 , 536609809
899999999 , 603442754
999999999 , 670349658
Completed: 1999999999 , 1000000000
