84 87
77 6 50
20 11 52
79 2 57
82 1 67
63 8 31
81 2 81
1 46 3
39 18 41
42 14 18
45 36 0
27 7 5
67 4 25
21 17 37
43 28 20
19 58 23
64 16 30
53 3 63
55 4 54
17 45 36
56 10 0
4 8 17
35 41 13
53 26 49
65 11 19
54 28 5
14 24 51
32 37 12
58 15 4
38 18 40
14 13 60
66 1 7
17 64 6
14 50 25
50 29 42
37 10 47
82 2 53
52 21 53
75 9 29
65 16 7
19 26 42
26 30 32
71 12 0
49 13 39
66 6 66
81 3 26
28 12 24
13 50 32
4 64 11
55 8 3
15 2 14
66 12 39
0 63 1
66 12 2
18 9 48
6 75 3
0 27 10
14 25 47
36 16 18
82 2 29
21 59 11
77 7 77
62 9 1
78 2 77
12 4 43
83 1 75
31 41 13
66 11 53
68 6 4
71 3 18
13 71 4
39 28 26
6 39 17
70 2 66
24 53 5
19 46 2
9 30 16
24 3 62
74 8 36
80 1 32
11 40 3
9 19 34
13 44 6
66 11 25
21 23 36
23 53 8
36 5 66
17 62 18
17 83
2 15 0
6 4 2
12 3 14
15 1 15
17 0 15
17 0 9
10 5 6
16 1 5
11 6 4
3 14 1
0 5 3
2 12 2
6 10 4
0 4 4
13 2 12
13 3 2
2 14 0
3 6 8
8 4 1
12 2 1
12 2 7
17 0 13
9 1 1
7 1 7
11 1 4
8 4 0
0 1 15
5 9 7
6 2 12
0 7 5
13 2 6
7 1 9
2 9 2
2 10 6
17 0 3
9 1 15
1 11 1
17 0 17
15 1 11
1 5 3
17 0 16
13 2 5
13 1 12
13 3 6
15 1 1
16 1 14
7 3 3
6 11 1
6 1 10
12 4 3
2 4 1
1 1 6
6 3 6
8 7 8
12 4 11
11 5 2
13 4 3
5 5 2
9 1 6
7 9 6
9 5 10
8 4 8
2 9 1
14 3 1
8 9 0
7 4 3
8 4 3
2 12 5
0 6 11
5 3 4
2 1 12
12 5 8
12 1 1
11 2 9
10 3 11
17 0 3
5 5 7
17 0 11
12 5 7
12 1 2
15 1 4
17 0 0
12 3 3
62 82
48 13 25
17 13 27
33 4 26
19 31 14
29 13 8
41 17 28
42 7 2
4 31 10
37 22 0
2 11 47
57 2 6
34 28 17
55 4 37
32 21 30
42 11 5
45 7 51
20 3 33
27 19 18
19 27 16
2 58 1
7 45 17
42 20 0
18 26 24
61 1 49
5 16 28
13 31 21
13 42 18
0 16 40
34 26 12
3 49 5
28 20 16
25 30 1
13 22 32
25 27 1
13 2 2
6 55 4
43 16 1
41 18 34
62 0 7
34 12 49
44 9 18
62 0 44
62 0 58
16 13 2
3 49 10
40 13 30
39 15 18
45 17 17
15 4 5
39 4 57
8 26 16
52 10 38
50 11 48
43 12 2
51 9 38
3 46 5
34 28 25
27 15 40
57 4 51
61 1 2
8 3 33
29 17 33
24 14 34
15 22 38
17 18 27
53 3 39
11 3 54
20 33 5
1 38 3
56 2 18
57 2 9
18 2 31
38 24 22
35 19 0
23 19 37
3 25 7
15 4 25
31 13 3
33 19 11
35 20 38
10 35 19
30 5 47
66 61
10 12 15
33 16 9
19 29 31
63 3 40
19 1 24
37 29 26
7 24 4
58 7 30
66 0 18
1 23 15
26 3 59
52 13 52
10 43 6
2 55 7
65 1 27
12 53 9
33 14 20
42 16 9
21 16 33
39 9 21
18 30 14
24 6 22
14 1 62
23 35 12
45 1 52
19 10 21
31 33 13
0 66 0
27 8 42
21 40 24
13 3 29
39 23 30
4 15 43
52 8 13
12 51 10
6 16 30
24 33 12
0 34 0
30 27 21
18 28 32
49 2 56
0 24 13
5 36 10
9 16 0
48 13 21
52 10 43
51 1 19
11 33 9
60 5 29
50 12 2
5 35 10
25 29 0
36 26 1
52 1 12
30 7 16
48 5 36
43 9 45
46 11 32
40 9 39
19 29 26
55 10 31
89 26
5 11 52
83 1 40
63 5 47
87 2 70
89 0 61
81 6 14
48 36 50
48 40 43
87 1 74
79 3 16
47 40 49
57 23 42
7 50 15
78 4 60
45 17 69
16 69 20
58 10 73
88 1 6
22 56 15
50 24 47
43 25 57
42 9 50
34 25 9
51 28 45
27 55 1
2 77 3
17 53
10 4 12
17 0 15
6 6 3
0 7 10
8 2 11
14 3 2
11 5 6
8 7 2
16 1 8
0 6 7
5 2 1
17 0 13
2 6 2
6 1 15
3 3 14
2 1 10
7 3 8
5 5 3
2 5 9
5 11 6
12 2 14
5 4 1
1 9 4
1 15 2
17 0 7
7 5 5
4 13 2
5 6 2
15 2 3
13 1 4
10 4 1
4 3 13
17 0 4
3 12 5
2 14 2
2 15 0
10 4 10
1 16 1
4 3 8
7 7 9
11 4 9
12 2 13
15 1 0
17 0 16
2 15 0
2 2 10
8 6 10
6 3 2
1 1 6
17 0 10
3 2 13
12 4 1
5 3 14
81 94
73 5 63
6 55 5
22 34 2
2 33 16
73 7 10
28 49 29
25 13 44
13 47 17
73 8 62
72 9 66
35 26 46
34 16 3
53 20 0
67 8 41
0 49 21
36 30 32
57 23 6
78 3 15
21 40 8
39 42 31
1 25 12
10 36 31
41 36 4
37 16 44
27 24 32
23 6 55
17 55 22
72 3 20
53 20 26
33 1 7
45 17 3
79 1 70
59 18 15
9 14 6
13 31 25
66 5 43
29 17 39
15 38 25
37 29 51
1 3 36
69 12 51
26 9 5
74 4 74
19 62 11
17 43 31
64 3 10
34 16 49
70 4 20
1 21 41
18 4 12
75 6 61
12 55 2
5 54 17
15 21 30
81 0 41
51 3 62
43 4 77
65 13 23
23 19 22
17 45 30
15 10 70
0 1 51
12 33 26
15 25 48
40 11 65
81 0 63
80 1 17
71 9 27
29 3 39
75 1 74
50 13 56
81 0 76
69 12 40
81 0 6
76 5 56
11 57 2
29 29 19
29 24 5
19 26 17
48 11 54
42 32 46
12 23 42
11 28 19
22 17 2
28 38 11
0 23 28
67 1 26
33 10 26
26 6 24
29 52 0
70 5 39
0 72 3
81 0 38
37 7 64
24 52
24 0 1
5 13 4
15 3 8
0 16 3
22 2 12
6 6 12
6 14 9
2 7 11
18 2 2
18 4 9
18 5 8
19 1 8
23 1 2
2 16 6
20 3 3
4 3 18
23 1 0
3 8 6
22 1 19
22 1 14
12 4 20
0 10 12
7 15 5
1 6 14
24 0 4
11 11 10
3 13 8
3 4 19
8 4 19
6 13 5
22 1 17
8 10 14
13 1 18
16 3 13
0 6 7
5 13 0
16 6 14
2 14 4
15 1 9
3 4 15
13 3 0
12 11 13
13 7 10
22 1 23
7 12 1
20 3 20
15 3 19
9 12 2
3 14 7
11 6 17
9 8 16
9 5 16
16 85
13 2 12
7 5 0
9 6 6
9 2 7
13 3 8
10 5 9
12 1 4
8 5 6
16 0 11
13 2 6
12 1 3
2 13 0
10 1 5
6 10 3
15 1 13
1 3 12
4 12 3
4 12 3
16 0 2
10 2 8
0 4 9
8 7 4
1 12 2
15 1 12
15 1 3
2 7 3
8 2 5
2 10 5
0 5 2
2 13 3
9 6 3
2 8 5
5 3 12
10 4 7
14 1 3
15 1 15
0 13 0
15 1 3
7 4 1
7 8 7
16 0 15
10 4 0
15 1 10
12 2 2
15 1 1
16 0 15
9 2 13
10 5 7
16 0 1
13 3 10
15 1 9
4 5 2
15 1 14
4 9 0
7 7 3
5 8 2
4 10 5
15 1 4
12 1 12
13 2 2
2 7 4
14 2 7
15 1 6
8 6 9
5 9 4
9 7 0
7 6 10
14 1 0
6 3 6
13 3 11
1 4 5
11 3 8
7 2 10
15 1 13
1 6 8
1 11 1
13 1 8
2 13 1
9 4 5
5 10 0
2 3 1
15 1 2
15 1 5
7 7 7
11 2 12
39 100
25 3 32
17 3 27
21 4 19
9 28 1
18 16 19
18 18 5
32 5 12
34 4 3
23 1 13
21 14 0
0 14 14
34 3 26
23 14 0
22 16 15
23 1 7
34 4 34
12 15 22
34 1 31
14 6 26
4 33 2
24 8 31
5 12 3
2 5 28
16 16 18
0 28 3
32 4 21
14 24 8
28 4 9
8 9 27
37 1 0
14 6 10
22 1 11
29 7 9
17 9 26
19 5 24
30 9 22
12 18 4
4 9 25
1 10 19
10 7 21
22 7 27
36 2 27
39 0 38
17 17 10
21 18 0
18 8 1
6 12 13
1 1 8
16 23 14
39 0 17
36 2 7
10 29 4
6 23 5
37 1 6
35 2 21
26 6 19
12 21 1
20 19 7
34 1 24
2 5 30
11 6 10
10 24 9
36 2 9
35 4 27
11 20 0
0 36 0
8 3 4
14 2 6
29 9 30
12 26 5
2 37 1
37 2 23
30 3 9
0 16 15
7 22 6
28 1 8
8 27 4
36 3 25
30 3 25
39 0 36
16 16 15
9 29 1
4 5 0
35 4 2
21 3 31
2 36 2
24 15 8
13 17 14
9 22 1
25 12 24
22 8 24
5 2 22
25 7 30
27 8 24
38 1 31
0 12 14
38 1 20
36 1 23
30 3 8
7 20 7
